Type,Year,Make,Model,Price,Milleage,Average Review,Transmission,Color,Interior Color,Features,Availability,Description,Car Image
SUV,2011,Honda,CR-V LX,"$14,599",126K mi,4.506849315068493                ,Automatic                    ,Blue                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2011 Honda CR-V LX for sale - $14,599, 125,960 miles with 4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags",https://media-service.carmax.com/img/vehicles/21517861/1_cleaned.jpg?width=800
SUV,2013,Jeep,Grand Cherokee Laredo,"$23,998",76K mi,4.451612903225806                ,Automatic                    ,Gray                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2013 Jeep Grand Cherokee Laredo for sale - $23,998, 75,180 miles with 4WD/AWD, Leather Seats, Satellite Radio Ready, Rear View Camera, Panoramic Sunroof, Navigation System",https://media-service.carmax.com/img/vehicles/21748306/1_cleaned.jpg?width=800
SUV,2017,Dodge,Journey SXT,"$18,998",82K mi,3.8095238095238098                ,Automatic                    ,Gray                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2017 Dodge Journey SXT for sale - $18,998, 81,381 miles with Satellite Radio Ready, Fold-Away Third Row, Auxiliary Audio Input, Cruise Control, Alloy Wheels, Overhead Airbags",https://media-service.carmax.com/img/vehicles/21181148/1_cleaned.jpg?width=800
SUV,2015,Chevrolet,Tahoe LTZ,"$46,998",67K mi,4.388888888888889                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2015 Chevrolet Tahoe LTZ for sale - $46,998, 66,827 miles with 4WD/AWD, Leather Seats, BOSE Sound System, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21575270/1_cleaned.jpg?width=800
SUV,2019,Jeep,Grand Cherokee SRT,"$70,998",26K mi,4.714285714285714                ,Automatic                    ,Red                    , Brown                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Jeep Grand Cherokee SRT for sale - $70,998, 25,787 miles with 4WD/AWD, Leather & Suede Seats, Harman Kardon Sound, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21574872/1_cleaned.jpg?width=800
SUV,2019,Land Rover,Range Rover Velar S,"$50,998",58K mi,0                ,Automatic                    ,White                    , Tan                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Land Rover Range Rover Velar S for sale - $50,998, 57,216 miles with Luxury Package, 4WD/AWD, Supercharged Engine, Leather Seats, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21517994/1_cleaned.jpg?width=800
SUV,2016,Ford,Expedition Limited,"$30,998",77K mi,4.833333333333333                ,Automatic                    ,White                    , Tan                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2016 Ford Expedition Limited for sale - $30,998, 76,446 miles with Turbo Charged Engine, Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21298303/1_cleaned.jpg?width=800
SUV,2018,BMW,X5 XDrive50i,"$54,998",33K mi,4.5                ,Automatic                    ,White                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 BMW X5 XDrive50i for sale - $54,998, 32,558 miles with Luxury Package, Premium Package, Head Up Display, Run Flat Tires, 4WD/AWD, Turbo Charged Engine",https://media-service.carmax.com/img/vehicles/21517664/1_cleaned.jpg?width=800
SUV,2018,Jeep,Wrangler All-New Unlimited Sahara,"$45,998",32K mi,4.666666666666667                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 Jeep Wrangler All-New Unlimited Sahara for sale - $45,998, 31,113 miles with Cold Weather Package, 4WD/AWD, Turbo Charged Engine, Alpine Sound System, Satellite Radio Ready, Rear View Camera",https://media-service.carmax.com/img/vehicles/21748537/1_cleaned.jpg?width=800
SUV,2019,GMC,Acadia SLT,"$39,998",22K mi,3.6666666666666665                ,Automatic                    ,Red                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 GMC Acadia SLT for sale - $39,998, 21,796 miles with 4WD/AWD, Leather Seats, BOSE Sound System, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21517939/1_cleaned.jpg?width=800
SUV,2019,Audi,Q8 Prestige,"$76,998",20K mi,0                ,Automatic                    ,Gray                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Audi Q8 Prestige for sale - $76,998, 19,785 miles with Luxury Package, Cold Weather Package, Head Up Display, 4WD/AWD, Turbo Charged Engine, Full Leather Interior",https://media-service.carmax.com/img/vehicles/21517321/1_cleaned.jpg?width=800
SUV,2016,Ford,Explorer Limited,"$28,998",79K mi,4.333333333333333                ,Automatic                    ,Silver                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2016 Ford Explorer Limited for sale - $28,998, 78,918 miles with Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Panoramic Sunroof, Navigation System",https://media-service.carmax.com/img/vehicles/20893094/1_cleaned.jpg?width=800
SUV,2014,Subaru,Forester 2.5I,"$17,998",85K mi,4                ,Automatic                    ,White                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2014 Subaru Forester 2.5I for sale - $17,998, 84,398 miles with 4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags",https://media-service.carmax.com/img/vehicles/21298461/1_cleaned.jpg?width=800
SUV,2019,Jeep,Grand Cherokee High Altitude,"$40,998",50K mi,4.714285714285714                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Jeep Grand Cherokee High Altitude for sale - $40,998, 49,285 miles with 4WD/AWD, Leather Seats, Harman Kardon Sound, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21517771/1_cleaned.jpg?width=800
SUV,2019,Jeep,Cherokee Limited,"$30,998",28K mi,4.428571428571429                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Jeep Cherokee Limited for sale - $30,998, 27,426 miles with 4WD/AWD, Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21748436/1_cleaned.jpg?width=800
SUV,2021,Jeep,Grand Cherokee Laredo X,"$44,998",6K mi,0                ,Automatic                    ,Gray                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2021 Jeep Grand Cherokee Laredo X for sale - $44,998, 5,175 miles with 4WD/AWD, Leather & Suede Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Sunroof(s)",https://media-service.carmax.com/img/vehicles/21517334/1_cleaned.jpg?width=800
SUV,2019,Toyota,RAV4 Adventure,"$41,998",7K mi,4.846153846153846                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Toyota RAV4 Adventure for sale - $41,998, 6,404 miles with 4WD/AWD, Leatherette Seats, Parking Sensors, Rear View Camera, Sunroof(s), Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21748963/1_cleaned.jpg?width=800
SUV,2018,Jeep,Grand Cherokee Limited,"$36,998",33K mi,4.705882352941177                ,Automatic                    ,Black                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 Jeep Grand Cherokee Limited for sale - $36,998, 32,022 miles with 4WD/AWD, Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Sunroof(s)",https://media-service.carmax.com/img/vehicles/21575387/1_cleaned.jpg?width=800
SUV,2018,Toyota,RAV4 Hybrid Limited,"$34,998",39K mi,4.666666666666667                ,Automatic                    ,Gray                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 Toyota RAV4 Hybrid Limited for sale - $34,998, 38,205 miles with 4WD/AWD, Leatherette Seats, JBL Sound System, Satellite Radio Ready, Parking Sensors, Rear View Camera",https://media-service.carmax.com/img/vehicles/21517865/1_cleaned.jpg?width=800
SUV,2016,Hyundai,Santa Fe Sport 2.0T,"$25,998",37K mi,4.461538461538462                ,Automatic                    ,White                    , Gray                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2016 Hyundai Santa Fe Sport 2.0T for sale - $25,998, 36,119 miles with Ultimate Package, Turbo Charged Engine, Leather Seats, Infinity Sound System, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21426109/1_cleaned.jpg?width=800
SUV,2019,Lexus,NX 300h ,"$38,998",14K mi,5                ,Automatic                    ,Black                    , Red                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Lexus NX 300h  for sale - $38,998, 13,717 miles with 4WD/AWD, Leatherette Seats, Rear View Camera, Front Seat Heaters, A/C Seat(s), Sunroof(s)",https://media-service.carmax.com/img/vehicles/20543006/1_cleaned.jpg?width=800
SUV,2018,Toyota,RAV4 Hybrid Limited,"$34,998",34K mi,4.666666666666667                ,Automatic                    ,White                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 Toyota RAV4 Hybrid Limited for sale - $34,998, 33,246 miles with 4WD/AWD, Leatherette Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Sunroof(s)",https://media-service.carmax.com/img/vehicles/21748985/1_cleaned.jpg?width=800
SUV,2019,Jeep,Cherokee Limited,"$31,998",19K mi,4.428571428571429                ,Automatic                    ,Gray                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2019 Jeep Cherokee Limited for sale - $31,998, 18,553 miles with 4WD/AWD, Leather Seats, Satellite Radio Ready, Parking Sensors, Rear View Camera, Navigation System",https://media-service.carmax.com/img/vehicles/21575496/1_cleaned.jpg?width=800
SUV,2018,Toyota,RAV4 LE,"$30,998",17K mi,4.818181818181818                ,Automatic                    ,Blue                    , Black                    ,"4WD/AWD, Auxiliary Audio Input, Cruise Control, Overhead Airbags, Traction Control, Side Airbags","Available at your store CarMax Norwood, MA"," Used 2018 Toyota RAV4 LE for sale - $30,998, 16,680 miles with 4WD/AWD, Satellite Radio Ready, Rear View Camera, Sunroof(s), Navigation System, Front Seat Heaters",https://media-service.carmax.com/img/vehicles/21048752/1_cleaned.jpg?width=800
Truck,2017,Chevrolet,Silverado 1500 Custom,"$33,998",90K mi,4.3125                ,Automatic                    ,Red                    , Gray                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2017 Chevrolet Silverado 1500 Custom for sale - $33,998, 89,163 miles with Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input",https://media-service.carmax.com/img/vehicles/21518016/1_cleaned.jpg?width=800
Truck,2018,Ford,F150 Platinum,"$52,998",28K mi,4.620689655172414                ,Automatic                    ,Brown                    , Brown                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2018 Ford F150 Platinum for sale - $52,998, 27,526 miles with FX4 Package, Bed Cover, 4WD/AWD, Turbo Charged Engine, Leather Seats, Satellite Radio Ready",https://media-service.carmax.com/img/vehicles/21517565/1_cleaned.jpg?width=800
Truck,2018,Chevrolet,Silverado 1500 LT Z71,"$34,998",52K mi,4.428571428571429                ,Automatic                    ,Red                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2018 Chevrolet Silverado 1500 LT Z71 for sale - $34,998, 51,175 miles with Flex Fuel Vehicle, 4WD/AWD, Satellite Radio Ready, Rear View Camera, Navigation System, Alloy Wheels",https://media-service.carmax.com/img/vehicles/20954097/1_cleaned.jpg?width=800
Truck,2014,Ram,1500 Laramie,"$38,998",78K mi,3.5                ,Automatic                    ,Black                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2014 Ram 1500 Laramie for sale - $38,998, 77,553 miles with Bed Cover, 4WD/AWD, Leather Seats, Alpine Sound System, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21517895/1_cleaned.jpg?width=800
Truck,2017,Toyota,Tacoma TRD Off Road,"$42,998",76K mi,4.7                ,Automatic                    ,Orange                    , Black                    ,"Bed Cover, 4WD/AWD, Rear View Camera, Bed Liner, Alloy Wheels, Auxiliary Audio Input","Available at your store CarMax Norwood, MA"," Used 2017 Toyota Tacoma TRD Off Road for sale - $42,998, 75,446 miles with Premium Package, Technology Package, Bed Cover, 4WD/AWD, Satellite Radio Ready, Parking Sensors",https://media-service.carmax.com/img/vehicles/21518120/1_cleaned.jpg?width=800
